title,NER
Hurry Curry Fruit,"[""peach halves"", ""Bartlett"", ""chunky mixed fruit"", ""pineapple"", ""brown sugar"", ""curry powder"", ""butter""]"
Chicken Curry,"[""chicken breasts"", ""cream of chicken soup"", ""chicken broth"", ""Cheddar cheese"", ""mayonnaise"", ""curry powder"", ""lemon juice"", ""broccoli"", ""herb dressing""]"
Turkey Curry,"[""celery"", ""onion"", ""butter"", ""flour"", ""curry powder"", ""milk"", ""broth"", ""turkey""]"
Chicken Curry,"[""chicken"", ""rice"", ""cream of chicken soup"", ""cream of mushroom soup"", ""some broth from chicken"", ""onion"", ""celery"", ""curry""]"
Chicken Curry(Makes 4 Servings)  ,"[""onion"", ""cooking apple"", ""curry powder"", ""margarine"", ""condensed cream"", ""light cream"", ""steak sauce"", ""chicken"", ""apples"", ""parsley sprigs""]"
Veal Curry(Yields 6 Servings)  ,"[""veal"", ""unsalted fat"", ""onion"", ""curry powder"", ""lemon juice"", ""water"", ""cornstarch"", ""cold water"", ""rice"", ""parsley""]"
Chicken Curry,"[""chicken"", ""tomatoes"", ""onions"", ""garlic"", ""ginger root"", ""curry powder"", ""salt"", ""olive""]"
Beef Curry,"[""boneless chuck steak"", ""vegetable oil"", ""onions"", ""garlic"", ""curry powder"", ""water"", ""tomato sauce"", ""instant beef broth"", ""frozen peas"", ""salt""]"
Chicken Curry,"[""chicken breasts"", ""butter"", ""onions"", ""garlic"", ""curry powder"", ""tomato paste"", ""water"", ""green peppers"", ""cinnamon"", ""cloves"", ""cardamon"", ""salt"", ""butter"", ""rice"", ""chicken broth""]"
Ground Turkey Curry,"[""ground turkey"", ""onion"", ""stalks celery"", ""carrots"", ""potatoes"", ""pack bon curry sauce mix"", ""water""]"
Shrimp Curry,"[""shrimp"", ""condensed cream soup"", ""applesauce"", ""onion"", ""curry powder"", ""salt"", ""pepper"", ""white wine""]"
Quick Chicken Curry,"[""onion"", ""butter"", ""condensed cream"", ""milk"", ""sour cream"", ""curry powder"", ""chicken"", ""parsley""]"
Chicken Curry,"[""broccoli"", ""chicken"", ""cream of chicken soup"", ""milk"", ""Miracle"", ""lemon juice"", ""curry"", ""Cheddar cheese"", ""bread crumbs"", ""margarine""]"
Chicken Curry With Bamboo Shoots,"[""chicken breast"", ""chicken"", ""red curry"", ""shrimp paste"", ""snow peas"", ""red chilies"", ""fish sauce"", ""sugar"", ""coconut milk"", ""sweet basil"", ""makrut"", ""water"", ""bamboo shoots"", ""lemon grass""]"
Tomato-Curry Chicken,"[""flour"", ""salt"", ""pepper"", ""chicken breasts"", ""butter"", ""onion"", ""green pepper"", ""curry"", ""clove garlic"", ""thyme"", ""tomatoes""]"
Mohines Chicken Curry(Chicken Curry Bombay)  ,"[""chicken"", ""onion"", ""butter"", ""plain yogurt"", ""tomato sauce"", ""ground cumin"", ""ground coriander"", ""cayenne pepper"", ""ground cinnamon"", ""ginger"", ""garlic"", ""ground turmeric""]"
Bao Zier'S Thai Red Curry,"[""coconut milk"", ""curry"", ""chicken"", ""fish sauce"", ""sugar"", ""bamboo shoots"", ""fresh Thai basil"", ""chili peppers""]"
Crock-Pot Curry Beef(Serves 8)  ,"[""beef round steak"", ""flour"", ""curry powder"", ""garlic powder"", ""raisins"", ""apples"", ""pepper"", ""onion soup"", ""water""]"
English Ground Beef Curry,"[""hamburger"", ""beans"", ""raisins"", ""yellow raisins"", ""apple"", ""onion"", ""brown sugar"", ""curry powder""]"
Skillet Chicken-Rice Curry,"[""chicken breasts"", ""mushroom soup"", ""rice"", ""onion"", ""curry powder"", ""parsley"", ""celery"", ""salt""]"
Indian Chicken Curry,"[""chicken"", ""onion"", ""tomatoes"", ""ginger"", ""garlic"", ""curry powder"", ""cinnamon"", ""cloves"", ""red chili powder"", ""salt"", ""oil""]"
Chicken Curry,"[""chicken breasts"", ""broccoli spears"", ""cream of chicken soup"", ""mayonnaise"", ""curry powder"", ""lemon juice"", ""grated cheese""]"
Hurry Curry,"[""white rice"", ""curry powder"", ""onion"", ""butter"", ""condensed cream soup"", ""sour cream"", ""chicken""]"
Corn Curry,"[""butter"", ""corn"", ""curry powder"", ""green pepper"", ""sour cream"", ""salt"", ""onion""]"
Curry Chicken,"[""chicken"", ""black pepper"", ""salt"", ""salt"", ""curry powder"", ""thyme"", ""onion""]"
African Chicken Curry And Rice,"[""onion"", ""celery"", ""chicken"", ""chicken broth"", ""tomato juice"", ""Worcestershire sauce"", ""salt"", ""curry powder"", ""chicken"", ""hot cooked rice"", ""lettuce"", ""carrots"", ""celery"", ""onions"", ""banana"", ""peanut nuts"", ""pineapple"", ""raisins"", ""coconut"", ""oranges""]"
Chicken Curry,"[""chicken"", ""olive oil"", ""margarine"", ""garlic"", ""onion"", ""green pepper"", ""curry powder"", ""thyme"", ""salt"", ""tomato halves""]"
Sweet And Spicy Curry Goat,"[""goat stew meat"", ""honey"", ""milk"", ""garlic"", ""onion"", ""curry powder"", ""cumin powder"", ""salt"", ""soy sauce"", ""water"", ""spaghetti sauce"", ""peanut oil""]"
Fijian-Indian Chicken Or Lamb Curry,"[""potatoes"", ""onion"", ""black mustard"", ""garlic"", ""ginger"", ""powdered coriander"", ""garam marsala"", ""turmeric"", ""chili powder"", ""salt"", ""tomato paste"", ""coriander""]"
Chicken Curry,"[""onion"", ""celery"", ""margarine"", ""flour"", ""salt"", ""curry powder"", ""milk"", ""chicken broth"", ""chicken"", ""apple""]"
Shrimp Curry,"[""onions"", ""butter"", ""garlic"", ""green pepper"", ""tomatoes"", ""curry powder"", ""milk"", ""shrimp"", ""mayonnaise"", ""rice""]"
Daughter-In-Law'S Curry,"[""milk"", ""butter"", ""onions"", ""garlic"", ""cumin"", ""salt"", ""ginger"", ""cayenne"", ""curry powder"", ""tomatoes"", ""flour"", ""cucumber"", ""meat"", ""lemon juice"", ""plum jam""]"
Chicken Curry,"[""chicken"", ""onions"", ""garlic"", ""fresh ginger"", ""curry powder"", ""green pepper"", ""teriyaki sauce"", ""peanut oil"", ""water"", ""chicken""]"
Potato And Pea Curry,"[""margarine"", ""potatoes"", ""Italian tomatoes"", ""curry powder"", ""salt"", ""water""]"
Murgha Kari(Chicken Curry With Tomatoes)  ,"[""onions"", ""curry powder"", ""butter"", ""tomato sauce"", ""salt"", ""chicken"", ""hot water""]"
Shrimp Curry,"[""butter"", ""flour"", ""applesauce"", ""onion soup"", ""water"", ""ginger"", ""curry powder"", ""lemon juice"", ""shrimp""]"
Chicken Curry,"[""chicken breasts"", ""Miracle"", ""dressing"", ""curry powder"", ""mandarin oranges"", ""white Tokay grapes""]"
Quick Turkey Curry,"[""onion"", ""butter"", ""condensed cream"", ""milk"", ""sour cream"", ""curry powder"", ""chicken"", ""parsley"", ""rice""]"
Souvenir Shrimp Curry,"[""Butter"", ""Flour"", ""Curry"", ""Salt"", ""Ground Paprika"", ""Ground Nutmeg"", ""Light Cream"", ""Shrimp"", ""Candied Ginger"", ""Lemon Juice"", ""Cooking Sherry"", ""Onion Juice"", ""Worcestershire Sauce"", ""Salt""]"
Beef Curry On Rice,"[""onions"", ""oil"", ""flour"", ""pepper"", ""salt"", ""bouillon cube"", ""water"", ""tomato sauce"", ""curry powder"", ""garlic""]"
Shrimp Curry,"[""butter"", ""onion"", ""green pepper"", ""garlic"", ""sour cream"", ""lemon juice"", ""curry powder"", ""salt"", ""ginger"", ""chili powder"", ""pepper"", ""shrimp""]"
Chicken Curry,"[""Bermuda"", ""flour"", ""tomato juice"", ""curry powder"", ""salt"", ""oil"", ""celery"", ""chicken broth"", ""Worcestershire sauce"", ""chicken""]"
Shrimp Curry With Rice,"[""onion"", ""clove garlic"", ""ginger"", ""butter"", ""curry powder"", ""flour"", ""salt"", ""pepper"", ""chicken broth"", ""shrimp""]"
Curry Pate,"[""cream cheese"", ""Cheddar cheese"", ""cooking sherry"", ""curry powder"", ""salt"", ""mango"", ""green onions""]"
Curry Rice,"[""curry mix"", ""onion"", ""carrots"", ""beef tips"", ""potatoes"", ""rice""]"
Curry Chicken,"[""margarine"", ""chicken"", ""curry"", ""salt"", ""pepper"", ""tomato sauce""]"
Mom'S In-A-Hurry Curry,"[""butter"", ""onion"", ""clove garlic"", ""curry powder"", ""cream of mushroom soup"", ""milk"", ""shrimp"", ""rice"", ""slivered almonds"", ""parsley"", ""butter""]"
Potato Curry,"[""potatoes"", ""onions"", ""hot green peppers"", ""urad dhal"", ""vegetable oil"", ""turmeric powder"", ""salt"", ""tomato""]"
Shrimp Curry,"[""margarine"", ""fresh shrimp"", ""red onion"", ""cream of mushroom soup"", ""curry powder"", ""pepper""]"
Rose'S Curry Chicken,"[""chicken"", ""onion"", ""margarine"", ""mushrooms"", ""tomato soup"", ""beer"", ""curry powder"", ""oregano"", ""pepper"", ""garlic"", ""Cheddar cheese""]"
Southern Indian Style Green Bean Curry,"[""green beans"", ""salt"", ""chili powder"", ""coriander powder"", ""turmeric powder"", ""oil"", ""coconut""]"
Potato Curry,"[""potato"", ""tomato"", ""garlic"", ""turmeric"", ""coriander leaves"", ""oil"", ""onions"", ""ginger paste"", ""coriander powder"", ""chili powder"", ""salt""]"
Chicken Curry,"[""chicken"", ""onion"", ""apple"", ""garlic"", ""curry powder"", ""ginger"", ""salt"", ""chicken stock""]"
Mexican Curry,"[""onions"", ""green pepper"", ""curry powder"", ""flour"", ""milk"", ""tomato sauce"", ""very lean ground beef""]"
Chicken Curry - In A Hurry,"[""chicken"", ""flour"", ""curry powder"", ""parsley"", ""water"", ""mushrooms"", ""onion"", ""chicken broth"", ""apple"", ""milk""]"
Dahi Murgh (An Indian Dish)(Chicken And Yogurt Curry)  ,"[""chicken"", ""onion"", ""garlic"", ""fresh ginger"", ""fresh coriander"", ""oil"", ""turmeric"", ""garam masala"", ""salt"", ""chili powder"", ""yogurt"", ""tomatoes"", ""mint""]"
Chicken Curry,"[""boneless chicken"", ""butter"", ""honey"", ""mustard"", ""salt"", ""pepper"", ""curry""]"
Chicken Curry,"[""chicken"", ""onions"", ""oil"", ""curry powder"", ""salt"", ""coriander"", ""cumin"", ""turmeric"", ""green chilies"", ""ginger root"", ""garlic"", ""water""]"
"Chicken Curry, Southern","[""flour"", ""salad oil"", ""garlic"", ""onions"", ""celery"", ""green pepper"", ""salt"", ""tomatoes"", ""regular long grain rice"", ""raisins"", ""butter"", ""almonds"", ""parsley"", ""curry powder""]"
Shrimp Curry,"[""shrimp"", ""butter"", ""cream of shrimp soup"", ""cream of mushroom soup"", ""sour cream"", ""curry powder"", ""parsley""]"
Simple Shrimp Curry,"[""shrimp"", ""butter"", ""cream of shrimp soup"", ""cream of celery soup"", ""sour cream"", ""curry powder"", ""patty shells""]"
Apri-Curry Chicken,"[""curry powder"", ""yogurt"", ""apricot"", ""mustard"", ""coconut"", ""chicken""]"
"Jamaican ""Curry Goat""","[""veal stew meat"", ""flour"", ""oil"", ""onion"", ""garlic"", ""curry powder"", ""cumin"", ""red pepper"", ""bouillon"", ""chicken broth"", ""lime"", ""salt"", ""scallions""]"
Shrimp Curry,"[""shrimp"", ""lemon juice"", ""garlic powder"", ""onion salt"", ""vegetable oil"", ""onion"", ""green bell pepper"", ""curry powder"", ""water"", ""rice"", ""raisins"", ""coconut""]"
Chicken-Amaretto Curry,"[""boneless chicken"", ""margarine"", ""lemon juice"", ""lemon rind"", ""mushrooms"", ""chicken broth"", ""flour"", ""cornstarch"", ""curry powder"", ""white pepper"", ""salt""]"
Fish Curry,"[""tomato paste"", ""chili powder"", ""turmeric"", ""black pepper"", ""white wine vinegar"", ""cumin"", ""curry"", ""salt"", ""garlic"", ""water"", ""white fish fillet"", ""onions""]"
Rice And Curry,"[""onions"", ""round steak"", ""mixed vegetables"", ""tomatoes"", ""potatoes"", ""curry powder"", ""red pepper"", ""butter"", ""rice per serving""]"
Banana Shrimp Curry,"[""onion"", ""butter"", ""curry powder"", ""milk"", ""chicken bouillon"", ""hot water"", ""salt"", ""bananas"", ""shrimp"", ""rice""]"
Shrimp Curry,"[""frozen"", ""cream of chicken soup"", ""applesauce"", ""onion"", ""curry powder"", ""salt"", ""pepper""]"
Beef Curry,"[""beef roast"", ""curry powder"", ""apple"", ""raisins"", ""onion"", ""green pepper""]"
Chicken Curry,"[""chicken"", ""cream of mushroom soup"", ""lemon juice"", ""curry powder"", ""mayonnaise"", ""broccoli""]"
Sour Cream Shrimp Curry,"[""butter"", ""onion"", ""green pepper"", ""clove garlic"", ""sour cream"", ""curry powder"", ""salt"", ""shrimp""]"
Shrimp Curry,"[""butter"", ""onion"", ""green pepper"", ""celery"", ""flour"", ""curry powder"", ""soy sauce"", ""water"", ""tomatoes"", ""rice"", ""salt"", ""water"", ""shrimp""]"
Chicken Curry,"[""curry powder"", ""butter"", ""onion"", ""stalks celery"", ""mushrooms"", ""apple"", ""beef broth"", ""lite cream"", ""milk"", ""cornstarch"", ""cold water"", ""chicken""]"
Chicken Curry And Green Rice,"[""butter"", ""onion"", ""curry powder"", ""flour"", ""salt"", ""sugar"", ""ground ginger"", ""chicken broth"", ""milk"", ""chicken"", ""lemon juice""]"
Green Chicken Curry,"[""vegetable oil"", ""onion"", ""green curry"", ""coconut milk"", ""water"", ""chicken thigh"", ""fresh green beans"", ""lime"", ""fish sauce"", ""lime juice"", ""lime rind"", ""brown sugar"", ""fresh cilantro""]"
Company Beef Curry,"[""flour"", ""salt"", ""pepper"", ""round steak"", ""oil"", ""tomato juice"", ""onions"", ""garlic"", ""curry powder"", ""boiling water""]"
Chicken Curry,"[""butter"", ""apple"", ""celery"", ""onion"", ""clove garlic"", ""cornstarch"", ""curry powder"", ""salt"", ""cold chicken broth"", ""milk"", ""chicken"", ""mushrooms"", ""curry condiments""]"
Mary'S Chicken Curry,"[""bacon"", ""celery"", ""onion"", ""clove garlic"", ""flour"", ""milk"", ""water"", ""applesauce"", ""tomato paste"", ""curry powder"", ""chicken bouillon cubes"", ""chicken""]"
Turkey Curry,"[""onion"", ""celery"", ""oil"", ""cornstarch"", ""chicken"", ""tomato juice"", ""Worcestershire sauce"", ""curry"", ""pepper"", ""turkey""]"
Chicken Potato Curry,"[""potato"", ""eggs"", ""chicken breast"", ""flour"", ""butter"", ""milk"", ""salt"", ""curry powder""]"
Butterfly Leg Of Lamb Curry,"[""orange juice"", ""curry"", ""ginger"", ""paprika"", ""dry mustard""]"
Chicken Curry With Almond-Raisin Rice,"[""apples"", ""clove garlic"", ""flour"", ""salt"", ""chicken broth"", ""onions"", ""butter"", ""curry powder"", ""ginger"", ""chicken""]"
Chicken Curry,"[""vegetable oil"", ""chicken breast halves"", ""salt"", ""onion"", ""garlic"", ""black"", ""curry powder"", ""ground ginger"", ""ground cumin"", ""chicken broth""]"
Chicken Curry,"[""fowl"", ""water"", ""salt"", ""onions"", ""butter"", ""apples"", ""raisins"", ""flour"", ""curry powder"", ""pepper"", ""cinnamon"", ""cream""]"
Chicken With Yogurt Curry(Microwave)  ,"[""onion"", ""ginger root"", ""cumin"", ""generous pinches salt"", ""chicken breasts"", ""nonfat yogurt"", ""almonds""]"
Hawaiian Curry,"[""chicken"", ""onion"", ""butter"", ""flour"", ""curry powder"", ""salt"", ""rice"", ""milk""]"
Singapore Vegetable Curry With Gluten Or Chicken,"[""potatoes"", ""carrots"", ""green beans"", ""bell pepper"", ""cabbage"", ""onion"", ""coconut milk"", ""curry powder"", ""eggs"", ""banana"", ""peanuts"", ""raisins"", ""coconut""]"
Quick Fruit Curry,"[""chicken"", ""oil"", ""butter"", ""onion"", ""curry powder"", ""fresh apples"", ""dried apricots"", ""raisins"", ""salt"", ""vinegar"", ""peanuts""]"
Chicken Curry,"[""chickens"", ""garlic"", ""onions"", ""fresh grated ginger root"", ""tomatoes"", ""jalapeno peppers"", ""cilantro"", ""salt"", ""paprika"", ""cloves"", ""bay leaves"", ""turmeric"", ""cardamom"", ""vegetable oil"", ""water""]"
Turkey Olive Curry,"[""butter"", ""onion"", ""celery"", ""flour"", ""salt"", ""curry powder"", ""chicken"", ""black olives"", ""milk"", ""turkey"", ""rice"", ""mein noodles""]"
Curry Chicken,"[""chicken breasts"", ""oil"", ""green pepper"", ""onion"", ""garlic"", ""curry powder"", ""parsley"", ""thyme"", ""salt"", ""pepper"", ""tomatoes""]"
Rice With Curry,"[""white rice"", ""raisins"", ""curry"", ""almonds""]"
Quick Chicken Curry,"[""chicken"", ""salt"", ""onion"", ""water"", ""sour cream"", ""curry powder"", ""ground cumin""]"
Chicken Curry,"[""chickens"", ""onions"", ""tomatoes"", ""curry powder"", ""vegetable oil"", ""salt""]"
Chicken Curry,"[""chicken"", ""onions"", ""vegetable oil"", ""garlic"", ""tomatoes"", ""chili powder"", ""salt"", ""water""]"
Chinese Style Chicken Curry,"[""skinless thighs"", ""garlic"", ""ginger"", ""onion"", ""oil"", ""chillies"", ""salt"", ""Worcestershire sauce"", ""sugar"", ""chilli"", ""tomato"", ""soy sauce""]"
Chicken Curry In A Hurry,"[""curry powder"", ""cumin"", ""salt"", ""fresh ground pepper"", ""cloves"", ""water"", ""garlic"", ""tomato paste"", ""vegetable oil"", ""onions"", ""chicken"", ""Golden Delicious apple"", ""carrots"", ""chicken broth"", ""frozen peas"", ""long grain rice""]"
Beef Curry,"[""beef"", ""potatoes"", ""carrots"", ""onion"", ""curry powder"", ""flour"", ""salt"", ""pepper"", ""rice""]"
Chicken Curry Southern Style,"[""broiler-fryer"", ""flour"", ""salad oil"", ""garlic"", ""onion"", ""celery"", ""green pepper"", ""curry powder"", ""salt"", ""tomatoes"", ""regular long grain rice"", ""currants"", ""butter"", ""almonds"", ""parsley""]"
Grace'S Chicken Curry,"[""margarine"", ""onion"", ""garlic"", ""turmeric"", ""tomato"", ""cinnamon"", ""powdered cloves"", ""black pepper"", ""cayenne"", ""chicken""]"
South African Curry(Serves 4)  ,"[""onions"", ""oil"", ""tomatoes"", ""vinegar"", ""sugar"", ""curry"", ""sauteed meat"", ""potatoes"", ""frozen peas""]"
Chicken And Rice Curry,"[""chicken"", ""onion"", ""green pepper"", ""butter"", ""rice"", ""curry powder"", ""salt"", ""milk""]"
Chicken Curry,"[""peanut"", ""fresh ginger"", ""chicken"", ""tart apples"", ""unsalted butter"", ""onions"", ""jalapeno chili peppers"", ""curry powder"", ""coconut"", ""cardamon"", ""plain yogurt"", ""chicken stock"", ""lemon grass"", ""rice"", ""lemon juice"", ""cilantro"", ""salt""]"
Lobster Curry,"[""seafood"", ""red apple"", ""curry powder"", ""butter"", ""rice"", ""cream of mushroom soup"", ""cream"", ""corn flakes""]"
Rogan Gosht(Lamb Curry)  ,"[""onions"", ""butter"", ""white turnips"", ""ground coriander"", ""cayenne pepper"", ""ground cardamon"", ""lamb"", ""sugar"", ""plain yogurt"", ""salt"", ""water""]"
Mom Taylor'S Curry,"[""onions"", ""butter"", ""curry powder"", ""water"", ""milk"", ""vinegar"", ""cooked meat""]"
Super Chicken Curry(India)  ,"[""bacon grease"", ""onion"", ""curry powder"", ""garlic"", ""lamb"", ""salt"", ""cayenne pepper"", ""potatoes""]"
Shrimp Or Chicken Curry(Microwave)  ,"[""shrimp"", ""butter"", ""onion"", ""celery"", ""curry powder"", ""flour"", ""salt"", ""sugar"", ""ground ginger"", ""black pepper"", ""chicken broth"", ""milk"", ""apple"", ""lemon juice""]"
Chicken Or Turkey Curry,"[""chicken"", ""whole broccoli"", ""chicken soup"", ""mayonnaise"", ""curry powder"", ""lemon juice"", ""cheese""]"
Curry Chicken,"[""butter"", ""mushrooms"", ""onions"", ""milk"", ""flour"", ""frozen broccoli"", ""salt"", ""pepper"", ""Mozzarella cheese"", ""chicken"", ""curry""]"
Chicken Curry,"[""fryer"", ""green pepper"", ""onions"", ""garlic"", ""ground allspice"", ""ground ginger"", ""curry powder"", ""turmeric powder"", ""tomatoes"", ""beef broth"", ""tart apples"", ""green peas"", ""salt""]"
Shrimp Curry,"[""curry powder"", ""mayonnaise"", ""milk"", ""shrimp"", ""green peppers"", ""pimento"", ""onion""]"
Fruit Curry,"[""pear halves"", ""peach halves"", ""apricot halves"", ""pineapple"", ""almonds"", ""maraschino cherries"", ""pineapple"", ""brown sugar"", ""curry powder"", ""butter""]"
Tuna Curry,"[""tuna"", ""white sauce"", ""onion"", ""green pepper"", ""celery"", ""olives"", ""eggs"", ""curry powder"", ""rice"", ""pimiento""]"
Chicken Curry,"[""chicken"", ""onions"", ""curry powder"", ""mushrooms"", ""celery"", ""mushroom soup"", ""tomato soup""]"
